servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code
102,565,grundskola,18.67,Ene,190,10.02,4.62,18,565,47,2020-01-01T12:00:00Z,Ene
"115,6",339,grundskola,14.27,Fornbacka,"82,2",20.07,14.01,17,339,"80,7",2020-01-01T12:00:00Z,Forn
51,582,grundskola,41.75,Hovsjö,413,5.16,2.43,17,582,24,2020-01-01T12:00:00Z,Hovs
79,473,grundskola,6.93,Hölö,59,9.28,6.11,18,473,52,2020-01-01T12:00:00Z,Hölö
255,740,grundskola,26.72,Igelstaviken,356,19.14,1.18,18,740,"15,7",2020-01-01T12:00:00Z,Igel
60,393,grundskola,26.96,Lina,180,8.99,5.99,17,393,40,2020-01-01T12:00:00Z,Lina
90,215,grundskola,21.12,Majtorp,77,24.68,2.47,17,215,9,2020-01-01T12:00:00Z,Majt
75,287,gymnasium,37.9,Moraberg,185,15.37,6.15,17,287,30,2020-01-01T12:00:00Z,Mora
,156,grundskola,NULL,Mölnbo,,NULL,NULL,,242,,2020-01-01T12:00:00Z,Möln
,352,grundskola,NULL,Oxbacken,,NULL,NULL,,352,,2020-01-01T12:00:00Z,Oxba
190,550,grundskola,16.36,Pershagen,153,20.32,2.14,17,550,20,2020-01-01T12:00:00Z,Pers
151,694,gymnasium,20.09,Rektorsvägen,237,12.8,3.73,17,694,44,2020-01-01T12:00:00Z,Rekt
154,671,grundskola,23.32,Ronna,266,13.5,4.57,17,1018,79,2020-01-01T12:00:00Z,Ronn
151,574,grundskola,23.77,Rosenborg,232,15.47,NULL,17,1498,,2020-01-01T12:00:00Z,Rose
97,619,grundskola,25.65,Soldala,270,9.21,2.18,17,619,23,2020-01-01T12:00:00Z,Sold
120,396,grundskola,20.76,Stålhamra,148,16.84,2.44,18,364,16,2020-01-01T12:00:00Z,Stål
113,429,grundskola,18.52,Tavesta,143,14.63,8.16,18,429,63,2020-01-01T12:00:00Z,Tave
75,320,grundskola,21.17,Valla,122,13.02,10.79,18,386,75,2020-01-01T12:00:00Z,Vall
95,650,grundskola,22.22,Wasa,260,8.12,7.15,18,660,85,2020-01-01T12:00:00Z,Wasa
74,501,gymnasium,19.39,Västergård,165,8.7,2.96,17,1551,78,2020-01-01T12:00:00Z,Väst
76,237,grundskola,24.38,Viksberg,98,18.9,24.38,17,237,98,2020-01-01T12:00:00Z,Viks
,,övrigt ,NULL,Stadshuset,,NULL,50.38,19,210,201,2020-01-01T12:00:00Z,Stad
